issue,subject,detected_company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,claude,This issue requires further support.,account_access,replied,product_issue,Classified as product_issue under account_access. Detected company: claude. Final decision: replied.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,hackerrank,Assessment issues must be reported via official support channels.,assessment,replied,product_issue,Classified as product_issue under assessment. Detected company: hackerrank. Final decision: replied.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,visa,Your issue has been escalated to the support team.,billing,escalated,product_issue,Classified as product_issue under billing. Detected company: visa. Final decision: escalated.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,visa,Your issue has been escalated to the support team.,billing,escalated,bug,Classified as bug under billing. Detected company: visa. Final decision: escalated.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,visa,"For payment issues, check transaction history and contact billing support.",billing,replied,product_issue,Classified as product_issue under billing. Detected company: visa. Final decision: replied.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,hackerrank,This issue requires further support.,general,replied,product_issue,Classified as product_issue under general. Detected company: hackerrank. Final decision: replied.
"i can not able to see apply tab
","I need to practice, submissions not working",unknown,Your issue has been escalated to the support team.,technical_issue,escalated,bug,Classified as bug under technical_issue. Detected company: unknown. Final decision: escalated.
none of the submissions across any challenges are working on your website,Issue while taking the test,unknown,Your issue has been escalated to the support team.,general,escalated,product_issue,Classified as product_issue under general. Detected company: unknown. Final decision: escalated.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,unknown,Your issue has been escalated to the support team.,technical_issue,escalated,bug,Classified as bug under technical_issue. Detected company: unknown. Final decision: escalated.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,hackerrank,Assessment issues must be reported via official support channels.,assessment,replied,feature_request,Classified as feature_request under assessment. Detected company: hackerrank. Final decision: replied.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,hackerrank,This issue requires further support.,assessment,replied,product_issue,Classified as product_issue under assessment. Detected company: hackerrank. Final decision: replied.
"it’s not working, help",Help needed,unknown,Your issue has been escalated to the support team.,technical_issue,escalated,bug,Classified as bug under technical_issue. Detected company: unknown. Final decision: escalated.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,hackerrank,This issue requires further support.,assessment,replied,product_issue,Classified as product_issue under assessment. Detected company: hackerrank. Final decision: replied.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,hackerrank,This issue requires further support.,general,replied,product_issue,Classified as product_issue under general. Detected company: hackerrank. Final decision: replied.
"Claude has stopped working completely, all requests are failing",Claude not responding,claude,This issue requires further support.,general,replied,feature_request,Classified as feature_request under general. Detected company: claude. Final decision: replied.
"My identity has been stolen, wat should I do",Identity Theft,unknown,Your issue has been escalated to the support team.,fraud_security,escalated,product_issue,Classified as product_issue under fraud_security. Detected company: unknown. Final decision: escalated.
